<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,25/07/14,00:00:00,35.1235000
USDRUB,D,26/07/14,00:00:00,35.1194000
USDRUB,D,27/07/14,00:00:00,35.1273000
USDRUB,D,28/07/14,00:00:00,35.5195000
USDRUB,D,29/07/14,00:00:00,35.7995000
USDRUB,D,30/07/14,00:00:00,35.5805000
USDRUB,D,31/07/14,00:00:00,35.7171000
USDRUB,D,01/08/14,00:00:00,35.7465000
USDRUB,D,02/08/14,00:00:00,35.7465000
USDRUB,D,03/08/14,00:00:00,35.7654000
USDRUB,D,04/08/14,00:00:00,35.8188000
USDRUB,D,05/08/14,00:00:00,36.0885000
USDRUB,D,06/08/14,00:00:00,36.1917000
USDRUB,D,07/08/14,00:00:00,36.2855000
USDRUB,D,08/08/14,00:00:00,36.1385000
USDRUB,D,09/08/14,00:00:00,36.1627000
USDRUB,D,10/08/14,00:00:00,36.1699000
USDRUB,D,11/08/14,00:00:00,35.9075000
USDRUB,D,12/08/14,00:00:00,36.1662000
USDRUB,D,13/08/14,00:00:00,36.0325000
USDRUB,D,14/08/14,00:00:00,36.0055000
USDRUB,D,15/08/14,00:00:00,36.1225000
USDRUB,D,16/08/14,00:00:00,36.1284000
USDRUB,D,18/08/14,00:00:00,36.0509000
USDRUB,D,19/08/14,00:00:00,36.1535000
USDRUB,D,20/08/14,00:00:00,36.3045000
USDRUB,D,21/08/14,00:00:00,36.0035000
USDRUB,D,22/08/14,00:00:00,36.1025000
USDRUB,D,23/08/14,00:00:00,36.1116000
USDRUB,D,24/08/14,00:00:00,36.1050000
USDRUB,D,25/08/14,00:00:00,36.1270000
USDRUB,D,26/08/14,00:00:00,36.1195000
USDRUB,D,27/08/14,00:00:00,36.1475000
USDRUB,D,28/08/14,00:00:00,36.7626000
USDRUB,D,29/08/14,00:00:00,36.9947000
USDRUB,D,30/08/14,00:00:00,37.0662000
USDRUB,D,01/09/14,00:00:00,37.3183000
USDRUB,D,02/09/14,00:00:00,37.4323000
USDRUB,D,03/09/14,00:00:00,36.8247000
USDRUB,D,04/09/14,00:00:00,36.9752000
USDRUB,D,05/09/14,00:00:00,36.8740000
USDRUB,D,06/09/14,00:00:00,36.9459000
USDRUB,D,07/09/14,00:00:00,36.9394000
USDRUB,D,08/09/14,00:00:00,37.0594000
USDRUB,D,09/09/14,00:00:00,37.0713000
USDRUB,D,10/09/14,00:00:00,37.2838000
USDRUB,D,11/09/14,00:00:00,37.5940000
USDRUB,D,12/09/14,00:00:00,37.8119000
USDRUB,D,13/09/14,00:00:00,37.7730000
USDRUB,D,14/09/14,00:00:00,37.7612000
USDRUB,D,15/09/14,00:00:00,38.3920000
USDRUB,D,16/09/14,00:00:00,38.3495000
USDRUB,D,17/09/14,00:00:00,38.4229000
USDRUB,D,18/09/14,00:00:00,38.4541000
USDRUB,D,19/09/14,00:00:00,38.4295000
USDRUB,D,20/09/14,00:00:00,38.4300000
USDRUB,D,21/09/14,00:00:00,38.4282000
USDRUB,D,22/09/14,00:00:00,38.6927000
USDRUB,D,23/09/14,00:00:00,38.5941000
USDRUB,D,24/09/14,00:00:00,38.1611000
USDRUB,D,25/09/14,00:00:00,38.4921000
USDRUB,D,26/09/14,00:00:00,39.1671000
USDRUB,D,27/09/14,00:00:00,39.1474000
USDRUB,D,29/09/14,00:00:00,39.4452000
USDRUB,D,30/09/14,00:00:00,39.5944000
USDRUB,D,01/10/14,00:00:00,39.6621000
USDRUB,D,02/10/14,00:00:00,39.5420000
USDRUB,D,03/10/14,00:00:00,39.9861000
USDRUB,D,04/10/14,00:00:00,39.9971000
USDRUB,D,05/10/14,00:00:00,40.1758000
USDRUB,D,06/10/14,00:00:00,39.7201000
USDRUB,D,07/10/14,00:00:00,39.8873000
USDRUB,D,08/10/14,00:00:00,39.9721000
USDRUB,D,09/10/14,00:00:00,40.0650000
USDRUB,D,10/10/14,00:00:00,40.3461000
USDRUB,D,11/10/14,00:00:00,40.3614000
USDRUB,D,12/10/14,00:00:00,40.3301000
USDRUB,D,13/10/14,00:00:00,40.5041000
USDRUB,D,14/10/14,00:00:00,40.9465000
USDRUB,D,15/10/14,00:00:00,40.3997000
USDRUB,D,16/10/14,00:00:00,40.8310000
USDRUB,D,17/10/14,00:00:00,40.7201000
USDRUB,D,18/10/14,00:00:00,40.7036000
USDRUB,D,20/10/14,00:00:00,41.0331000
USDRUB,D,21/10/14,00:00:00,40.9362000
USDRUB,D,22/10/14,00:00:00,41.3870000
USDRUB,D,23/10/14,00:00:00,41.7007000
USDRUB,D,24/10/14,00:00:00,41.8820000
USDRUB,D,25/10/14,00:00:00,41.8974000
USDRUB,D,26/10/14,00:00:00,41.8589000
USDRUB,D,27/10/14,00:00:00,42.2587000
USDRUB,D,28/10/14,00:00:00,42.4345000
