<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,24/09/10,00:00:00,78.8000000
ICE.BRN,D,26/09/10,00:00:00,78.9400000
ICE.BRN,D,27/09/10,00:00:00,78.1400000
ICE.BRN,D,28/09/10,00:00:00,78.8500000
ICE.BRN,D,29/09/10,00:00:00,80.6700000
ICE.BRN,D,30/09/10,00:00:00,82.1100000
ICE.BRN,D,01/10/10,00:00:00,83.8100000
ICE.BRN,D,03/10/10,00:00:00,83.6900000
ICE.BRN,D,04/10/10,00:00:00,83.3000000
ICE.BRN,D,05/10/10,00:00:00,84.6500000
ICE.BRN,D,06/10/10,00:00:00,85.3000000
ICE.BRN,D,07/10/10,00:00:00,83.1100000
ICE.BRN,D,08/10/10,00:00:00,84.1900000
ICE.BRN,D,10/10/10,00:00:00,84.3300000
ICE.BRN,D,11/10/10,00:00:00,83.4600000
ICE.BRN,D,12/10/10,00:00:00,83.3900000
ICE.BRN,D,13/10/10,00:00:00,84.8400000
ICE.BRN,D,14/10/10,00:00:00,84.0200000
ICE.BRN,D,15/10/10,00:00:00,82.7600000
ICE.BRN,D,17/10/10,00:00:00,82.5200000
ICE.BRN,D,18/10/10,00:00:00,84.3400000
ICE.BRN,D,19/10/10,00:00:00,80.8900000
ICE.BRN,D,20/10/10,00:00:00,83.6500000
ICE.BRN,D,21/10/10,00:00:00,82.0400000
ICE.BRN,D,22/10/10,00:00:00,82.9000000
ICE.BRN,D,24/10/10,00:00:00,82.9500000
ICE.BRN,D,25/10/10,00:00:00,83.3800000
ICE.BRN,D,26/10/10,00:00:00,83.5000000
ICE.BRN,D,27/10/10,00:00:00,83.3400000
ICE.BRN,D,28/10/10,00:00:00,83.5500000
ICE.BRN,D,29/10/10,00:00:00,83.1400000
ICE.BRN,D,31/10/10,00:00:00,83.2600000
ICE.BRN,D,01/11/10,00:00:00,84.5900000
ICE.BRN,D,02/11/10,00:00:00,85.6500000
ICE.BRN,D,03/11/10,00:00:00,86.5700000
ICE.BRN,D,04/11/10,00:00:00,88.1300000
ICE.BRN,D,05/11/10,00:00:00,88.4700000
ICE.BRN,D,07/11/10,00:00:00,88.6100000
ICE.BRN,D,08/11/10,00:00:00,88.2200000
ICE.BRN,D,09/11/10,00:00:00,87.9700000
ICE.BRN,D,10/11/10,00:00:00,89.0000000
ICE.BRN,D,11/11/10,00:00:00,88.7200000
ICE.BRN,D,12/11/10,00:00:00,86.2100000
ICE.BRN,D,14/11/10,00:00:00,86.5400000
ICE.BRN,D,15/11/10,00:00:00,86.5400000
ICE.BRN,D,16/11/10,00:00:00,84.7500000
ICE.BRN,D,17/11/10,00:00:00,83.1600000
ICE.BRN,D,18/11/10,00:00:00,85.3500000
ICE.BRN,D,19/11/10,00:00:00,84.1300000
ICE.BRN,D,21/11/10,00:00:00,84.6800000
ICE.BRN,D,22/11/10,00:00:00,83.7300000
ICE.BRN,D,23/11/10,00:00:00,83.0000000
ICE.BRN,D,24/11/10,00:00:00,86.2100000
ICE.BRN,D,25/11/10,00:00:00,85.9100000
ICE.BRN,D,26/11/10,00:00:00,85.8000000
ICE.BRN,D,28/11/10,00:00:00,85.7900000
ICE.BRN,D,29/11/10,00:00:00,87.4500000
ICE.BRN,D,30/11/10,00:00:00,85.4500000
ICE.BRN,D,01/12/10,00:00:00,88.9200000
ICE.BRN,D,02/12/10,00:00:00,90.6400000
ICE.BRN,D,03/12/10,00:00:00,91.6800000
ICE.BRN,D,05/12/10,00:00:00,91.7300000
ICE.BRN,D,06/12/10,00:00:00,90.9900000
ICE.BRN,D,07/12/10,00:00:00,90.9000000
ICE.BRN,D,08/12/10,00:00:00,91.1800000
